[2026-03-11 01:19:48] === NUEVA SESION INICIADA ===
[2026-03-11 01:22:31] Asset=AIG-OTC | Precio=75.10650 | RSI=45.22 | EMA=75.10423 | SMA=75.14462 | BB_W%=0.6529 | Mood_CALL=0% | Mood_PUT=100% | Score=0.091 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=0.025 | FadeCrowd=1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:34] Asset=AIG-OTC | Precio=75.09950 | RSI=44.82 | EMA=75.10356 | SMA=75.14441 | BB_W%=0.6512 | Mood_CALL=0% | Mood_PUT=100% | Score=0.152 | MoodMom=0.000 | MicroMom=0.400 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=0.075 | FadeCrowd=1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:37] Asset=AIG-OTC | Precio=75.10150 | RSI=44.94 | EMA=75.10375 | SMA=75.14447 | BB_W%=0.6517 | Mood_CALL=0% | Mood_PUT=100% | Score=0.151 | MoodMom=0.000 | MicroMom=0.400 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=0.059 | FadeCrowd=1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:40] Asset=AIG-OTC | Precio=75.11550 | RSI=45.72 | EMA=75.10509 | SMA=75.14488 | BB_W%=0.6552 | Mood_CALL=0% | Mood_PUT=100% | Score=0.153 | MoodMom=0.000 | MicroMom=0.400 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=0.092 | FadeCrowd=1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:44] Asset=AIG-OTC | Precio=75.11250 | RSI=45.55 | EMA=75.10480 | SMA=75.14479 | BB_W%=0.6544 | Mood_CALL=0% | Mood_PUT=100% | Score=0.096 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=0.135 | FadeCrowd=1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:47] Asset=AIG-OTC | Precio=75.09350 | RSI=44.48 | EMA=75.10299 | SMA=75.14424 | BB_W%=0.6499 | Mood_CALL=0% | Mood_PUT=100% | Score=0.032 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=0.020 | FadeCrowd=0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:50] Asset=AIG-OTC | Precio=75.11050 | RSI=45.44 | EMA=75.10461 | SMA=75.14474 | BB_W%=0.6539 | Mood_CALL=0% | Mood_PUT=100% | Score=0.089 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=-0.004 | FadeCrowd=0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:53] Asset=AIG-OTC | Precio=75.10250 | RSI=44.99 | EMA=75.10385 | SMA=75.14450 | BB_W%=0.6519 | Mood_CALL=0% | Mood_PUT=100% | Score=0.031 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=0.011 | FadeCrowd=0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:56] Asset=AIG-OTC | Precio=75.10750 | RSI=45.27 | EMA=75.10432 | SMA=75.14465 | BB_W%=0.6531 | Mood_CALL=0% | Mood_PUT=100% | Score=0.029 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=-0.029 | FadeCrowd=0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:59] Asset=AIG-OTC | Precio=75.09250 | RSI=44.42 | EMA=75.10290 | SMA=75.14421 | BB_W%=0.6496 | Mood_CALL=0% | Mood_PUT=100% | Score=0.088 | MoodMom=0.001 | MicroMom=0.133 | Diverg=0.000 | MoodBase=-0.999 | Tech=-0.200 | ROC=-0.032 | FadeCrowd=0.999 | Decision=HOLD | Filtros=[NONE]
